Round,City,Country,Circuit_Name,Date,Time,Weather,Track_Length,Laps,Added_Laps,Turns,Finish_Position,Driver,Driver_Age,Driver_Number,Nationality,Team,Powertrain,Starting_Position,Best_Lap_Time,Race_Time,Gap,Points
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,20,Stoffel Vandoorne,31,#1,Belgian,DS Penske,DS E-TENSE FE23,8,1:10:125,51:17:876,+ 0:37:572,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,21,Oliver Rowland,30,#8,British,Mahindra Racing,Mahindra M9Electro,14,1:11:186,DNF,+,0
3,Diriyah,Saudi Arabia,Diriyah Street Circuit,1/28/2023,20:03 - 21:30,17˚C,2.490KM,39,1,21,22,Nico Mueller,31,#51,Swiss,ABT Cupra Formula E Team,Mahindra M9Electro,22,1:11:055,DNF,+,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,1,Jean-Eric Vergne,33,#25,French,DS Penske,DS E-TENSE FE23,2,1:15:325,46:01:099,0,25
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,2,Nick Cassidy,28,#37,New Zealander,Envision Racing,Jaguar I-Type 6,9,1:15:053,46:01:499,+ 0:00:400,18
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,3,Antonio Felix Da Costa,31,#13,Spanish,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,13,1:15:168,46:02:958,+ 0:01:859,15
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,4,Pascal Wehrlein,28,#94,German,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,12,1:14:800,46:03:954,+ 0:02:855,12
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,5,Sergio Sette Camara,25,#3,Brazilian,NIO 333 Racing,NIO 333 ER9,15,1:15:371,46:04:622,+ 0:03:523,10
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,6,Oliver Rowland,30,#8,British,Mahindra Racing,Mahindra M9Electro,10,1:15:199,46:08:237,+ 0:07:138,8
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,7,Norman Nato,30,#17,French,Nissan Formula E Team,Nissan e-4ORCE 04,14,1:14:698,46:08:417,+ 0:07:318,7
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,8,Stoffel Vandoorne,31,#1,Belgian,DS Penske,DS E-TENSE FE23,17,1:15:077,46:08:663,+ 0:07:564,4
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,9,Andre Lotterer,41,#36,German,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,20,1:14:847,46:09:802,+ 0:08:703,2
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,10,Edoardo Mortara,36,#48,Swiss,Maserati MSG Racing,Maserati Tipo Folgore,7,1:14:810,46:10:172,+ 0:09:073,1
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,11,Nico Mueller,31,#51,Swiss,ABT Cupra Formula E Team,Mahindra M9Electro,18,1:14:656,46:11:721,+ 0:10:622,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,12,Sacha Fenestraz,23,#23,French,Nissan Formula E Team,Nissan e-4ORCE 04,4,1:15:031,46:12:734,+ 0:11:635,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,13,Maximilian Gunther,25,#7,German,Maserati MSG Racing,Maserati Tipo Folgore,5,1:15:273,46:16:545,+ 0:15:446,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,14,Lucas Di Grassi,38,#11,Brazilian,Mahindra Racing,Mahindra M9Electro,19,1:14:757,46:17:098,+ 0:15:999,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,15,Sebastian Buemi,34,#16,Swiss,Envision Racing,Jaguar I-Type 6,3,1:15:460,46:18:834,+ 0:17:735,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,16,Jake Dennis,28,#27,British,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,11,1:14:677,47:11:661,+ 1:10:562,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,17,Dan Ticktum,24,#33,British,NIO 333 Racing,NIO 333 ER9,16,1:15:861,DNF,+,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,18,Jake Hughes,29,#5,British,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,21,1:15:288,DNF,+,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,19,Mitch Evans,29,#9,New Zealander,Jaguar TCS Racing,Jaguar I-Type 6,1,1:15:961,DNF,+,3
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,20,Kelvin Van Der Linde,27,#4,South African,ABT Cupra Formula E Team,Mahindra M9Electro,22,1:17:047,DNF,+,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,21,Sam Bird,36,#10,British,Jaguar TCS Racing,Jaguar I-Type 6,6,1:15:469,DNF,+,0
4,Hyderabad,India,Hyderabad Street Circuit,2/11/2023,15:03 - 16:30,34˚C,2.835KM,32,1,18,22,Rene Rast,36,#58,German,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,8,1:15:510,DNF,+,0
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,1,Antonio Felix Da Costa,31,#13,Spanish,Tag Heuer Porsche Formula E Team,Porsche 99X Electric Gen3,11,1:09:810,42:25:403,0,25
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,2,Jean-Eric Vergne,33,#25,French,DS Penske,DS E-TENSE FE23,5,1:09:740,42:25:684,+ 0:00:281,19
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,3,Nick Cassidy,28,#37,New Zealander,Envision Racing,Jaguar I-Type 6,3,1:10:249,42:27:211,+ 0:01:808,15
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,4,Rene Rast,36,#58,German,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,10,1:09:946,42:27:611,+ 0:02:208,12
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,5,Sebastian Buemi,34,#16,Swiss,Envision Racing,Jaguar I-Type 6,7,1:10:152,42:28:059,+ 0:02:656,10
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,6,Dan Ticktum,24,#33,British,NIO 333 Racing,NIO 333 ER9,8,1:10:079,42:28:612,+ 0:03:209,8
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,7,Stoffel Vandoorne,31,#1,Belgian,DS Penske,DS E-TENSE FE23,12,1:10:027,42:29:613,+ 0:04:210,6
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,8,Norman Nato,30,#17,French,Nissan Formula E Team,Nissan e-4ORCE 04,9,1:10:490,42:33:985,+ 0:08:582,4
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,9,Andre Lotterer,41,#36,German,Avalanche Andretti Formula E,Porsche 99X Electric Gen3,15,1:10:322,42:34:158,+ 0:08:755,2
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,10,Jake Hughes,29,#5,British,NEOM McLaren Formula E Team,Nissan e-4ORCE 04,13,1:10:248,42:35:878,+ 0:10:475,1
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,11,Mitch Evans,29,#9,New Zealander,Jaguar TCS Racing,Jaguar I-Type 6,4,1:09:951,42:39:586,+ 0:14:183,0
5,Cape Town,South Africa,Cape Town Street Circuit,2/25/2023,16:03 - 17:30,23˚C,2.927KM,30,2,13,12,Sergio Sette Camara,25,#3,Brazilian,NIO 333 Racing,NIO 333 ER9,16,1:10:788,42:40:317,+ 0:14:914,0
